event_id,mag,longitude,latitude,depth (km),code,distance (km),vs30,pga (%g),pgv (cm/s),max_sa(0.3),max_sa(1.0),max_sa(3.0),E-pgv (cm/s),E-sa(0.3) (%g),E-sa(1.0) (%g),E-sa(3.0) (%g),E-pga (%g),N-pgv (cm/s),N-sa(0.3) (%g),N-sa(1.0) (%g),N-sa(3.0) (%g),N-pga (%g)
024gol0iao,3.6,-153.0206,60.0317,114,SAW,341.115,760.0,0.0034,0.0011,0.0051,0.0009,0.0001,0.001,0.0029,0.0009,0.0001,0.0029,0.0011,0.0051,0.0005,0.0001,0.0034
024gol0iao,3.6,-153.0206,60.0317,114,SCM,384.442,760.0,0.0048,0.0014,0.0078,0.001,0.0001,0.0014,0.0078,0.001,0.0001,0.0048,0.001,0.0047,0.0008,0.0001,0.0039
024gol0iao,3.6,-153.0206,60.0317,114,SWD,228.933,900.0,0.0458,0.0053,0.0162,0.0011,0.0002,0.0047,0.0162,0.0009,0.0001,0.043,0.0053,0.012,0.0011,0.0002,0.0458
024gol0iao,3.6,-153.0206,60.0317,114,VMT,398.82,760.0,0.0115,0.0022,0.0061,0.0004,0.0001,0.0017,0.0048,0.0002,0.0001,0.0115,0.0022,0.0061,0.0004,0.0001,0.0095
024gol0iao,3.6,-153.0206,60.0317,114,WAT1,407.962,760.0,0.0051,0.0008,0.0022,0.0003,0.0001,0.0008,0.002,0.0003,0.0001,0.0037,0.0007,0.0022,0.0002,0.0001,0.0051
024gmssb5w,4,-151.7336,60.205,64,2704,163.387,348.35,0.0162,0.0051,0.0225,0.0083,0.0004,0.0051,0.0225,0.0049,0.0004,0.0162,0.0046,0.0199,0.0083,0.0004,0.012
024gmssb5w,4,-151.7336,60.205,64,8007,157.247,326.45,0.0201,0.0051,0.0335,0.0078,0.0005,0.0043,0.0265,0.0045,0.0004,0.0201,0.0051,0.0335,0.0078,0.0005,0.0185
024gmssb5w,4,-151.7336,60.205,64,8011,166.263,347.43,0.0557,0.0213,0.0185,0.0042,0.0003,0.0213,0.0127,0.0024,0.0003,0.0442,0.0135,0.0185,0.0042,0.0003,0.0557
024gmssb5w,4,-151.7336,60.205,64,8021,155.017,284.21,0.0242,0.0069,0.0162,0.0045,0.0004,0.0069,0.0162,0.0044,0.0004,0.0242,0.0044,0.0108,0.0045,0.0004,0.0111
024gmssb5w,4,-151.7336,60.205,64,8025,158.038,272.44,0.0176,0.0058,0.0208,0.0045,0.0004,0.0058,0.0184,0.0037,0.0004,0.0176,0.0056,0.0208,0.0045,0.0004,0.015
024gmssb5w,4,-151.7336,60.205,64,8026,164.792,267.87,0.0323,0.0107,0.06,0.0044,0.0004,0.0063,0.0501,0.0021,0.0004,0.0167,0.0107,0.06,0.0044,0.0004,0.0323
024gmssb5w,4,-151.7336,60.205,64,8027,159.209,299.3,0.0536,0.0171,0.0472,0.0057,0.0007,0.0171,0.0472,0.0046,0.0007,0.0536,0.0126,0.0423,0.0057,0.0005,0.0468
024gmssb5w,4,-151.7336,60.205,64,8028,165.186,298.78,0.0668,0.0274,0.0185,0.0028,0.0006,0.0078,0.0185,0.0023,0.0004,0.0396,0.0274,0.0141,0.0028,0.0006,0.0668
024gmssb5w,4,-151.7336,60.205,64,8029,161.495,252.51,0.0537,0.0135,0.0162,0.0038,0.0009,0.0135,0.0155,0.0026,0.0009,0.0333,0.0092,0.0162,0.0038,0.0005,0.0537
024gmssb5w,4,-151.7336,60.205,64,8030,163.423,261.06,0.0262,0.0067,0.0317,0.0039,0.0003,0.0049,0.0196,0.0017,0.0002,0.0198,0.0067,0.0317,0.0039,0.0003,0.0262
024gmssb5w,4,-151.7336,60.205,64,8036,157.925,278.04,0.0163,0.0068,0.0298,0.0082,0.0005,0.0064,0.0298,0.0082,0.0005,0.0163,0.0068,0.0226,0.0076,0.0005,0.0155
024gmssb5w,4,-151.7336,60.205,64,8037,155.647,302.08,0.0251,0.0104,0.0415,0.0087,0.0006,0.0104,0.0415,0.0069,0.0006,0.0251,0.0082,0.0327,0.0087,0.0005,0.0193
